CET,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykM,MaxWindSpeedKmh,MeanWindSpeedKmh,MaxGustSpeedKmh,Precipitationmm,CloudCover,Events,WindDirDegrees
1999-1-1,9,6,2,3,2,0,100,81,54,1016,1006,995,10,10,10,24,14,,0.00,5,Rain,42
1999-1-2,8,3,-1,4,2,-1,100,89,71,1026,1021,1017,10,9,1,19,5,,0.00,4,Fog,91
1999-1-3,6,3,1,4,3,1,100,93,81,1030,1028,1026,10,5,1,8,3,,0.00,7,Fog,11
1999-1-4,7,3,-1,4,2,-1,100,89,76,1029,1027,1025,9,8,7,11,5,,0.00,5,,359
1999-1-5,16,6,-3,3,-1,-3,100,76,36,1025,1022,1019,10,9,7,14,6,,0.00,0,,353
1999-1-6,17,8,-1,3,0,-4,87,67,36,1024,1022,1020,,,,14,6,,0.00,,,355
1999-1-7,12,4,-2,5,1,-2,100,83,58,1028,1026,1024,8,8,7,10,3,,0.00,0,,350
1999-1-8,13,6,-2,6,2,-2,100,89,58,1024,1021,1018,10,5,0,11,3,,0.00,3,Fog,354
1999-1-9,11,6,1,8,4,-1,100,91,70,1018,1007,997,10,6,0,47,10,84,0.00,6,Fog-Rain,208
1999-1-10,8,3,-1,2,-2,-5,93,64,43,1009,1005,998,10,10,10,39,18,58,0.00,3,Rain,346
1999-1-11,7,1,-4,-2,-4,-6,100,71,42,1019,1013,1009,10,10,10,24,5,,0.00,2,,31
1999-1-12,7,1,-4,-4,-6,-8,86,65,36,1022,1020,1018,,,,11,6,,0.00,,,360
1999-1-13,9,1,-6,-2,-4,-8,93,71,32,1023,1022,1021,10,10,10,11,3,,0.00,1,,357
1999-1-14,11,3,-3,4,1,-4,100,84,58,1022,1019,1017,10,10,10,14,6,,0.00,5,,11
1999-1-15,11,6,0,2,1,-1,100,78,50,1024,1022,1020,10,10,10,23,8,,0.00,2,,9
1999-1-16,11,4,-2,4,1,-3,100,83,58,1024,1021,1017,10,9,5,16,6,,0.00,3,,276
1999-1-17,10,6,2,7,3,-3,100,77,49,1019,1014,1011,10,9,6,29,13,,0.00,6,Rain,258
1999-1-18,11,4,-1,-1,-4,-8,86,57,28,1028,1025,1020,10,10,10,23,11,,0.00,2,,355
1999-1-19,9,2,-4,-2,-4,-5,93,70,37,1028,1026,1025,,,,8,3,,0.00,,,336
1999-1-20,10,3,-3,0,-2,-3,100,75,43,1025,1024,1021,10,10,10,11,6,,0.00,3,,17
1999-1-21,10,6,1,4,2,-1,93,78,54,1021,1019,1016,10,10,10,13,6,,0.00,6,,24
1999-1-22,11,8,6,7,5,4,87,83,67,1019,1018,1017,10,10,8,23,8,,0.00,6,Rain,20
1999-1-23,13,8,3,5,4,1,93,78,51,1025,1022,1019,10,10,10,11,6,,0.00,3,Rain,10
1999-1-24,12,6,-1,4,2,-2,100,82,54,1030,1027,1025,10,10,5,10,5,,0.00,1,,357
1999-1-25,13,6,-2,4,2,-2,100,80,51,1033,1031,1030,9,8,8,11,5,,0.00,0,,253
1999-1-26,10,5,0,5,3,0,100,94,71,1031,1028,1026,10,5,0,13,3,,0.00,6,Fog,324
1999-1-27,13,8,4,6,4,2,100,79,51,1027,1025,1024,10,9,5,16,6,,0.00,2,,70
1999-1-28,17,9,2,5,2,1,100,71,39,1029,1027,1026,,,,19,5,,0.00,,,18
1999-1-29,16,8,1,5,3,0,93,68,48,1028,1026,1026,10,10,10,27,10,,0.00,1,,1
1999-1-30,16,10,4,4,0,-9,81,55,28,1027,1025,1023,,,,24,8,,0.00,,,32
1999-1-31,11,4,-1,-10,-15,-22,40,25,13,1027,1024,1022,,,,27,8,,0.00,,,38
1999-2-1,10,0,-9,-8,-12,-18,79,45,20,1028,1026,1025,,,,19,6,,0.00,,,351
1999-2-2,12,4,-2,0,-3,-7,80,60,41,1033,1030,1027,,,,13,6,,0.00,,,358
1999-2-3,12,4,-3,0,-2,-4,93,67,33,1037,1034,1033,,,,11,3,,0.00,,,344
1999-2-4,18,8,-1,4,-1,-3,93,60,26,1034,1031,1013,10,10,10,13,3,,0.00,4,,339
